DATE_TIME,PLANT_ID,IRRADIATION(W/m²),WIND_SPEED(m/s),CLOUD_COVER(%),AMBIENT_TEMPERATURE(°C),THEORETICAL_MODULE_TEMPERATURE(°C),ACTUAL_MODULE_TEMPERATURE(°C),THEORETICAL_DC_POWER(kW),THEORETICAL_AC_POWER(kW),ACTUAL_DC_POWER(kW),ACTUAL_AC_POWER(kW),DC_EFFICIENCY,AC_EFFICIENCY,INVERTER_EFFICIENCY,DAILY_YIELD(kWh),TOTAL_YIELD(kWh),THEORETICAL_DC_PER_KWP,THEORETICAL_AC_PER_KWP,CALCULATED_PLANT_CAPACITY(kWp),DC_RESIDUAL(kW),AC_RESIDUAL(kW),EFFICIENCY_RATIO
2020-05-15 00:00:00,4136001,0.0,1.777777777777778,98.0,27.004763700000005,27.004763700000005,25.0607889,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 00:15:00,4136001,0.0,1.8263888888888888,98.0,26.880811433333328,26.880811433333328,24.42186883333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 00:30:00,4136001,0.0,1.875,98.0,26.682055344827592,26.682055344827592,24.427290310344823,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 00:45:00,4136001,0.0,1.923611111111111,98.0,26.500588900000004,26.500588900000004,24.4206776,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 01:00:00,4136001,0.0,1.972222222222222,98.0,26.596148,26.596148,25.088210413793107,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 01:15:00,4136001,0.0,1.9374999999999998,98.0,26.512740033333333,26.512740033333333,25.31796966666667,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 01:30:00,4136001,0.0,1.9027777777777777,98.0,26.494338966666664,26.494338966666664,25.217192533333336,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 01:45:00,4136001,0.0,1.8680555555555554,98.0,26.420410206896552,26.420410206896552,25.065062310344832,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 02:00:00,4136001,0.0,1.8333333333333333,98.0,26.401946133333333,26.401946133333333,24.69146936666666,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 02:15:00,4136001,0.0,1.7291666666666665,97.75,26.226078206896553,26.226078206896553,24.55948079310345,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 02:30:00,4136001,0.0,1.6249999999999998,97.5,26.2603992,26.2603992,24.482406633333337,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 02:45:00,4136001,0.0,1.5208333333333333,97.25,26.2978261,26.2978261,24.4886982,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 03:00:00,4136001,0.0,1.4166666666666665,97.0,26.328249103448275,26.328249103448275,24.50628962068966,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 03:15:00,4136001,0.0,1.4166666666666665,97.5,26.158709733333332,26.158709733333332,24.595197433333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 03:30:00,4136001,0.0,1.4166666666666665,98.0,26.078499333333333,26.078499333333333,24.801314366666663,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
2020-05-15 03:45:00,4136001,0.0,1.4166666666666665,98.5,26.00130396551724,26.00130396551724,24.60781744827586,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,25051.255360952437,0.0,,
